site,grid,vrm_1cm,height_diff,mean_curv,mean_pro_curv,mean_plan_curv,vrm_dev
GR,84,0.071554223,1.679481506,-0.19140699,-6.874746194,-7.064015659,0.013708493
GR,85,0.098208407,2.635633469,-0.310779732,5.534680328,5.224778525,0.019585301
GR,86,0.141490324,2.197109222,0.362183755,-6.502626561,-6.140442806,-0.004400258
GR,87,0.091928614,2.993947983,0.737188502,-0.980986418,-0.242863674,0.021300398
GR,88,0.073753818,2.389843941,0.190691758,-2.581070546,-2.381103422,0.016147277
GR,89,0.073759636,1.937427521,-0.148230184,-1.811393838,-1.965723789,0.002041938
GR,90,0.069733209,1.611077309,0.191747294,-7.932505363,-7.740416035,0.012281932
GR,91,0.125120765,2.550257683,-0.245821744,-9.725666003,-9.958510944,0.000425483
GR,92,0.100697921,2.535458565,0.114677411,-1.750396919,-1.645630404,0.002670173
GR,93,0.101325853,2.142720222,-0.186421157,-10.88235836,-11.06900379,0.006630481
GR,94,0.134712495,2.368071556,0.17330215,-18.49193542,-18.31863327,0.003571412
GR,95,0.078471102,2.199707985,-0.114048651,-5.856829828,-5.970890134,0.015628843
GR,96,0.066457121,2.091284752,0.396577599,-5.601022935,-5.204648269,0.002089034
NDR,1,0.053123556,3.057861805,0.117278891,-4.460522844,-4.342463221,0.003126081
NDR,2,4.15E-07,0.202487946,0.010242768,-0.007091478,0.00315129,2.52E-06
NDR,3,0.073643274,1.930519104,0.009428082,-4.11395935,-4.105145898,-0.004000427
NDR,4,0.068218703,1.125692844,-0.043357599,-3.167246043,-3.210968356,-0.004726062
NDR,5,0.068166138,1.337885857,0.004509484,-2.47611902,-2.47110478,-0.010903724
NDR,6,0.082644052,1.991157532,0.137782678,3.488026452,3.625028388,0.00116129
NDR,7,0.067605767,1.258526802,-0.074934656,-3.77775412,-3.85351259,-0.004461347
NDR,8,0.058691134,1.642237186,0.096675576,-4.728049382,-4.631017938,-0.005047616
NDR,9,0.067261858,2.107614994,0.026281391,-4.967369676,-4.941521154,-0.007616525
