site,grid,fac,height_diff,sd_relief
NDR,62,16,1.541021295,0.264187764
NDR,62,32,1.368875784,0.251136152
NDR,63,1,2.803569555,0.881474926
NDR,63,2,2.795858145,0.876335569
NDR,63,4,2.763230935,0.869076356
NDR,63,8,2.728562642,0.857856554
NDR,63,16,2.637713663,0.840841106
NDR,63,32,2.420855435,0.811526723
NDR,64,1,2.465875149,0.514885126
NDR,64,2,2.444254816,0.513138291
NDR,64,4,2.397411525,0.510479249
NDR,64,8,2.354997475,0.506271399
NDR,64,16,2.221434645,0.498079052
NDR,64,32,2.060320704,0.486574787
NDR,65,1,2.425586939,0.649103674
NDR,65,2,2.421889544,0.648191707
NDR,65,4,2.40967758,0.646724077
NDR,65,8,2.377896279,0.64426798
NDR,65,16,2.3143161,0.639203629
NDR,65,32,2.177870795,0.62943244
NDR,66,1,2.021393299,0.282412602
NDR,66,2,1.96628058,0.281589204
NDR,66,4,1.950423211,0.280379674
NDR,66,8,1.875151157,0.2781645
NDR,66,16,1.675742351,0.273072085
NDR,66,32,1.554237276,0.263590863
NDR,67,1,1.578081131,0.174348329
NDR,67,2,1.569168687,0.174183261
NDR,67,4,1.490990281,0.17379794
NDR,67,8,1.430228136,0.172862045
NDR,67,16,1.387429483,0.170304719
NDR,67,32,1.201561514,0.163667526
NDR,68,1,2.693297148,0.488260502
NDR,68,2,2.51998347,0.487776614
NDR,68,4,2.51424554,0.487020497
NDR,68,8,2.341398209,0.485534409
NDR,68,16,2.067047214,0.482453976
NDR,68,32,1.90999289,0.478362491
NDR,69,1,2.302850962,0.595241645
NDR,69,2,2.243484497,0.594338056
NDR,69,4,2.207319051,0.592918498
NDR,69,8,2.148105405,0.590563812
NDR,69,16,2.067521373,0.586457936
NDR,69,32,1.993869481,0.57907398
NDR,70,1,2.055705547,0.47017163
NDR,70,2,2.046898544,0.469511766
NDR,70,4,2.033742681,0.468405212
NDR,70,8,1.975561526,0.466278304
NDR,70,16,1.914581816,0.462534325
NDR,70,32,1.578607104,0.455536865
NDR,71,1,2.69625783,0.525767837
NDR,71,2,2.685037851,0.524991255
NDR,71,4,2.663061321,0.523711898
NDR,71,8,2.497365803,0.521395405
NDR,71,16,2.315920465,0.517126568
NDR,71,32,2.169694078,0.51014003
NDR,72,1,1.425897121,0.198780303
NDR,72,2,1.419270039,0.19851203
NDR,72,4,1.403279066,0.197983312
NDR,72,8,1.367736243,0.196804826
NDR,72,16,1.129018782,0.193834923
NDR,72,32,0.929561462,0.188592613
NDR,73,1,2.42437768,0.480266329
NDR,73,2,2.370823622,0.47951104
NDR,73,4,2.274997696,0.478229972
NDR,73,8,2.190409241,0.476118609
NDR,73,16,2.086491143,0.472956499
NDR,73,32,2.035257941,0.464012824
NDR,74,1,2.294047356,0.306957458
NDR,74,2,2.197349608,0.306309399
NDR,74,4,2.109751433,0.305165019
NDR,74,8,2.084304806,0.303009614
NDR,74,16,2.061552688,0.299194207
NDR,74,32,2.004511754,0.292431126
NDR,75,1,0.660002232,0.109137488
NDR,75,2,0.641453981,0.108906669
NDR,75,4,0.631616533,0.108438699
NDR,75,8,0.611925539,0.107279144
NDR,75,16,0.584893962,0.104907343
NDR,75,32,0.502107374,0.09991653
NDR,76,1,2.266902447,0.39316137
NDR,76,2,2.093691528,0.392591606
NDR,76,4,1.905804858,0.391682843
NDR,76,8,1.781410046,0.390101581
NDR,76,16,1.686275087,0.387218881
NDR,76,32,1.611657097,0.381306112
NDR,77,1,2.41231215,0.424464632
NDR,77,2,2.3859469,0.423735998
NDR,77,4,2.337008327,0.422538266
NDR,77,8,2.288968153,0.420675607
NDR,77,16,2.193082022,0.417030295
NDR,77,32,1.937722349,0.410497058
NDR,78,1,2.458858252,0.532709287
NDR,78,2,2.440543652,0.532325539
NDR,78,4,2.336326748,0.531675764
NDR,78,8,2.217620481,0.530418358
NDR,78,16,2.16834571,0.528138364
NDR,78,32,2.071351851,0.523788838
NDR,79,1,1.6913867,0.22173111
NDR,79,2,1.592587769,0.220629079
NDR,79,4,1.580997035,0.218853999
NDR,79,8,1.300390456,0.216085986
NDR,79,16,1.203221529,0.211877723
NDR,79,32,1.091975806,0.2043819
NDR,80,1,1.310878754,0.2340414
NDR,80,2,1.308430731,0.23346911
NDR,80,4,1.291773096,0.232578532
NDR,80,8,1.265329693,0.230939039
NDR,80,16,1.167135729,0.227953552
NDR,80,32,1.079296637,0.220992554
NDR,81,1,1.247658014,0.175958299
NDR,81,2,1.188869059,0.174721269
NDR,81,4,1.002109542,0.172720456
NDR,81,8,0.907995638,0.169535218
NDR,81,16,0.832567376,0.163276678
NDR,81,32,0.710807996,0.151449927
NDR,82,1,0.928156614,0.134265501
NDR,82,2,0.858864486,0.133590467
NDR,82,4,0.839003801,0.132443132
NDR,82,8,0.757054549,0.13044002
NDR,82,16,0.645290165,0.126554882
NDR,82,32,0.530412555,0.12089744
NDR,83,1,2.615526676,0.651165822
NDR,83,2,2.456825584,0.650253755
NDR,83,4,2.425341606,0.648937152
NDR,83,8,2.363512965,0.646745294
NDR,83,16,2.291014833,0.642724017
NDR,83,32,2.09610909,0.636720535
NDR,84,1,3.64383927,0.735634226
NDR,84,2,3.313153759,0.734839193
NDR,84,4,3.241405517,0.733550996
NDR,84,8,3.026634667,0.731347588
NDR,84,16,2.954588024,0.727356203
NDR,84,32,2.85430897,0.720414427
NDR,85,1,3.223442793,0.961091182
NDR,85,2,3.163783401,0.956992712
NDR,85,4,3.106770836,0.951438504
NDR,85,8,3.050842175,0.943834888
NDR,85,16,2.931519385,0.933387677
NDR,85,32,2.815152529,0.916389578
NDR,86,1,2.847736478,0.631759313
NDR,86,2,2.796521112,0.628869008
NDR,86,4,2.774896968,0.62487442
NDR,86,8,2.584846683,0.61923668
NDR,86,16,2.502689928,0.611334915
NDR,86,32,2.418599087,0.600189027
NDR,87,1,1.113051176,0.166448703
NDR,87,2,1.003687799,0.165798582
NDR,87,4,0.888711303,0.164682027
NDR,87,8,0.835130468,0.16273974
NDR,87,16,0.739110144,0.158880031
NDR,87,32,0.601003539,0.152502266
NDR,88,1,1.358634233,0.203621942
NDR,88,2,1.246537447,0.202500703
NDR,88,4,1.231717676,0.200735977
NDR,88,8,1.202585168,0.197726108
NDR,88,16,1.163640305,0.191950071
NDR,88,32,1.097934709,0.180166604
NDR,89,1,1.069641829,0.104128831
NDR,89,2,1.053400278,0.103208775
NDR,89,4,0.938697875,0.101586195
NDR,89,8,0.685022283,0.098783237
NDR,89,16,0.48787267,0.094158124
NDR,89,32,0.417897937,0.08701593
NDR,90,1,3.295261145,0.993454968
NDR,90,2,3.289918184,0.992995733
NDR,90,4,3.256840087,0.992227233
NDR,90,8,3.155337735,0.990865635
NDR,90,16,2.927943369,0.988452623
NDR,90,32,2.712751575,0.984443585
NDR,91,1,3.132004976,0.762189545
NDR,91,2,2.963874429,0.76094611
NDR,91,4,2.875723481,0.759193538
NDR,91,8,2.80212646,0.756510846
NDR,91,16,2.705348284,0.752843512
NDR,91,32,2.607601814,0.745615301
NDR,92,1,2.733155966,0.629268724
NDR,92,2,2.712297648,0.627822805
NDR,92,4,2.655407086,0.625559742
NDR,92,8,2.620115396,0.622361648
NDR,92,16,2.509896316,0.617071199
NDR,92,32,2.327131476,0.608372336
NDR,93,1,3.114120007,0.570596515
NDR,93,2,2.900472909,0.569514477
NDR,93,4,2.855633102,0.567989396
NDR,93,8,2.820028963,0.565614944
NDR,93,16,2.793887513,0.561625753
NDR,93,32,2.746422745,0.553714686
NDR,94,1,1.071624041,0.147702198
NDR,94,2,1.040334761,0.146142076
NDR,94,4,0.921662077,0.143727203
NDR,94,8,0.819981672,0.139823137
NDR,94,16,0.730342053,0.13283923
NDR,94,32,0.625406566,0.122987004
NDR,95,1,0.809474707,0.125866017
NDR,95,2,0.780326307,0.125033964
NDR,95,4,0.714570239,0.123619003
NDR,95,8,0.703920215,0.121102962
NDR,95,16,0.637161616,0.116854044
NDR,95,32,0.548549111,0.109725586
NDR,96,1,1.038385868,0.140028831
NDR,96,2,0.972721636,0.138795616
NDR,96,4,0.899173453,0.13689486
NDR,96,8,0.785070185,0.133681752
NDR,96,16,0.709872474,0.128320242
