site,trans,grid,x,y,outplant
GC,a,61,11,1,0
GC,a,62,11,2,0
GC,b,63,11,3,0
GC,b,64,11,4,0
GC,c,65,11,5,0
GC,c,66,11,6,0
GC,a,67,12,1,0
GC,a,68,12,2,0
GC,b,69,12,3,0
GC,b,70,12,4,0
GC,c,71,12,5,0
GC,c,72,12,6,0
GC,a,73,13,1,0
GC,a,74,13,2,0
GC,b,75,13,3,0
GC,b,76,13,4,0
GC,c,77,13,5,0
GC,c,78,13,6,0
GC,a,79,14,1,0
GC,a,80,14,2,0
GC,b,81,14,3,0
GC,b,82,14,4,0
GC,c,83,14,5,0
GC,c,84,14,6,0
GC,a,85,15,1,0
GC,a,86,15,2,0
GC,b,87,15,3,0
GC,b,88,15,4,0
GC,c,89,15,5,0
GC,c,90,15,6,0
GC,a,91,16,1,0
GC,a,92,16,2,0
GC,b,93,16,3,0
GC,b,94,16,4,0
GC,c,95,16,5,0
GC,c,96,16,6,0
NDR,a,1,1,1,0
NDR,a,2,1,2,0
NDR,b,3,1,3,1
NDR,b,4,1,4,1
NDR,c,5,1,5,1
NDR,c,6,1,6,0
NDR,a,7,2,1,0
NDR,a,8,2,2,0
NDR,b,9,2,3,0
NDR,b,10,2,4,1
NDR,c,11,2,5,1
NDR,c,12,2,6,1
NDR,a,13,3,1,0
NDR,a,14,3,2,0
NDR,b,15,3,3,1
NDR,b,16,3,4,1
NDR,c,17,3,5,1
NDR,c,18,3,6,1
NDR,a,19,4,1,0
NDR,a,20,4,2,0
NDR,b,21,4,3,1
NDR,b,22,4,4,1
NDR,c,23,4,5,1
NDR,c,24,4,6,1
NDR,a,25,5,1,0
NDR,a,26,5,2,0
NDR,b,27,5,3,1
NDR,b,28,5,4,1
NDR,c,29,5,5,1
NDR,c,30,5,6,1
NDR,a,31,6,1,0
NDR,a,32,6,2,1
NDR,b,33,6,3,1
NDR,b,34,6,4,1
NDR,c,35,6,5,1
NDR,c,36,6,6,1
NDR,a,37,7,1,1
NDR,a,38,7,2,1
NDR,b,39,7,3,1
NDR,b,40,7,4,0
NDR,c,41,7,5,1
NDR,c,42,7,6,1
NDR,a,43,8,1,1
NDR,a,44,8,2,1
NDR,b,45,8,3,1
